symbol,signal_time,entry_time,exit_time,bias,score,entry_price,stop_price,target_1,target_2,risk_per_share,shares,atr_14,hit_t1,exit_reason,pnl_dollars,r_multiple,reasons
AMZN,2026-02-02 14:45:00-05:00,2026-02-02 15:00:00-05:00,2026-02-03 09:30:00-05:00,SHORT,65,242.96,243.86,241.16,240.25,0.9021,110,0.6014,False,stop,-99.23,-0.992,"below 20-bar average, negative short-term momentum, near recent intraday low"
AVGO,2026-02-02 14:45:00-05:00,2026-02-02 15:00:00-05:00,2026-02-03 09:30:00-05:00,SHORT,65,330.82,332.97,326.52,324.37,2.15,46,1.4333,False,stop,-98.9,-0.989,"below 20-bar average, negative short-term momentum, near recent intraday low"
NVDA,2026-02-02 15:00:00-05:00,2026-02-02 15:15:00-05:00,2026-02-03 09:30:00-05:00,SHORT,65,187.09,188.12,185.01,183.98,1.0366,96,0.6911,True,target_2,248.79,2.488,"below 20-bar average, strong relative volume, near recent intraday low"
META,2026-02-02 15:30:00-05:00,2026-02-02 15:45:00-05:00,2026-02-03 09:30:00-05:00,SHORT,65,707.18,710.52,700.5,697.16,3.3409,29,2.2272,False,stop,-96.89,-0.969,"below 20-bar average, negative short-term momentum, near recent intraday low"
NVDA,2026-02-02 15:30:00-05:00,2026-02-02 15:45:00-05:00,2026-02-03 09:45:00-05:00,SHORT,65,185.7,186.8,183.49,182.39,1.1004,90,0.7336,True,target_2,247.58,2.476,"below 20-bar average, strong relative volume, near recent intraday low"
AVGO,2026-02-02 15:30:00-05:00,2026-02-02 15:45:00-05:00,2026-02-03 09:30:00-05:00,SHORT,65,330.03,332.05,325.98,323.96,2.0245,49,1.3497,False,stop,-99.2,-0.992,"below 20-bar average, strong relative volume, near recent intraday low"
AMZN,2026-02-02 15:45:00-05:00,2026-02-03 09:30:00-05:00,2026-02-03 09:30:00-05:00,SHORT,65,245.07,246.01,243.2,242.26,0.9353,106,0.6235,False,stop,-99.14,-0.991,"below 20-bar average, strong relative volume, near recent intraday low"
META,2026-02-03 09:30:00-05:00,2026-02-03 09:45:00-05:00,2026-02-03 10:45:00-05:00,SHORT,65,707.7,712.21,698.67,694.16,4.5128,22,3.0085,True,target_2,248.2,2.482,"below 20-bar average, strong relative volume, near recent intraday low"
NVDA,2026-02-03 09:30:00-05:00,2026-02-03 09:45:00-05:00,2026-02-03 11:15:00-05:00,SHORT,85,183.46,184.89,180.59,179.16,1.4346,69,0.9564,True,target_2,248.19,2.482,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
AVGO,2026-02-03 09:30:00-05:00,2026-02-03 09:45:00-05:00,2026-02-03 10:15:00-05:00,SHORT,85,327.99,330.97,322.03,319.05,2.9791,33,1.9861,True,target_2,247.27,2.473,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
