symbol,bias,entry_time,exit_time,entry_price,exit_price,stop_price,target1,target2,atr14,risk_per_share,shares,pnl,r_multiple,exit_reason,trade_date
NVDA,SHORT,2025-12-17 14:30:00+00:00,2025-12-17 16:00:00+00:00,174.1,171.3045,175.0319,172.2363,171.3045,0.9318,0.9318,107,249.73,2.497,T2,2025-12-17
GOOGL,SHORT,2025-12-17 14:30:00+00:00,2025-12-17 20:00:00+00:00,300.46,296.438,301.8007,297.7787,296.438,1.3407,1.3407,74,248.02,2.48,T2,2025-12-17
AVGO,SHORT,2025-12-17 14:30:00+00:00,2025-12-17 15:45:00+00:00,334.62,326.6411,337.2796,329.3008,326.6411,2.6596,2.6596,37,247.34,2.473,T2,2025-12-17
AMZN,SHORT,2025-12-17 20:00:00+00:00,2025-12-17 20:45:00+00:00,222.2001,221.241,222.8418,220.9166,220.2749,0.6417,0.6417,155,148.66,1.487,EOD_NO_T1,2025-12-17
AAPL,SHORT,2025-12-18 14:30:00+00:00,2025-12-18 14:45:00+00:00,268.2128,269.2899,269.2899,266.0587,264.9816,1.0771,1.0771,92,-99.09,-0.991,STOP,2025-12-18
META,SHORT,2025-12-18 20:15:00+00:00,2025-12-18 20:45:00+00:00,664.54,664.38,666.6566,660.3067,658.1901,2.1166,2.1166,47,7.52,0.075,EOD_NO_T1,2025-12-18
META,SHORT,2025-12-26 15:00:00+00:00,2025-12-26 20:45:00+00:00,665.435,663.21,666.8886,662.5279,661.0743,1.4536,1.4536,68,174.49,1.745,EOD_AFTER_T1,2025-12-26
AAPL,SHORT,2025-12-26 20:00:00+00:00,2025-12-26 20:45:00+00:00,274.145,273.25,274.4297,273.5755,273.2907,0.2848,0.2848,351,257.18,2.572,EOD_AFTER_T1,2025-12-26
GOOGL,SHORT,2025-12-26 20:30:00+00:00,2025-12-26 20:45:00+00:00,313.49,313.55,313.8229,312.8242,312.4913,0.3329,0.3329,300,-18.0,-0.18,EOD_NO_T1,2025-12-26
NVDA,SHORT,2025-12-30 14:30:00+00:00,2025-12-30 14:45:00+00:00,187.3066,187.8296,187.8296,186.2607,185.7377,0.523,0.523,191,-99.89,-0.999,STOP,2025-12-30
AAPL,SHORT,2025-12-30 14:30:00+00:00,2025-12-30 14:45:00+00:00,273.32,273.7174,273.7174,272.5252,272.1278,0.3974,0.3974,251,-99.75,-0.997,STOP,2025-12-30
AMZN,SHORT,2025-12-30 14:30:00+00:00,2025-12-30 14:45:00+00:00,231.11,231.5455,231.5455,230.2389,229.8034,0.4355,0.4355,229,-99.74,-0.997,STOP,2025-12-30
AVGO,SHORT,2025-12-30 20:00:00+00:00,2025-12-30 20:30:00+00:00,350.015,350.7448,350.7448,348.5555,347.8258,0.7297,0.7297,137,-99.98,-1.0,STOP,2025-12-30
META,SHORT,2025-12-30 20:30:00+00:00,2025-12-30 20:45:00+00:00,666.57,665.91,667.4763,664.7575,663.8512,0.9063,0.9063,110,72.6,0.726,EOD_NO_T1,2025-12-30
META,SHORT,2025-12-31 14:30:00+00:00,2025-12-31 15:15:00+00:00,662.34,663.5438,663.5438,659.9325,658.7288,1.2038,1.2038,83,-99.91,-0.999,STOP,2025-12-31
AAPL,SHORT,2025-12-31 14:30:00+00:00,2025-12-31 14:45:00+00:00,272.385,272.725,272.725,271.7051,271.3651,0.34,0.34,294,-99.95,-0.999,STOP,2025-12-31
GOOGL,SHORT,2025-12-31 14:30:00+00:00,2025-12-31 14:45:00+00:00,313.34,313.8178,313.8178,312.3844,311.9065,0.4778,0.4778,209,-99.86,-0.999,STOP,2025-12-31
AVGO,SHORT,2025-12-31 14:30:00+00:00,2025-12-31 18:15:00+00:00,347.36,348.3526,348.3526,345.3747,344.382,0.9926,0.9926,100,-99.26,-0.993,STOP,2025-12-31
AMZN,SHORT,2025-12-31 15:45:00+00:00,2025-12-31 16:45:00+00:00,231.0055,231.4864,231.4864,230.0438,229.5629,0.4809,0.4809,207,-99.54,-0.995,STOP,2025-12-31
META,SHORT,2026-01-02 14:30:00+00:00,2026-01-02 14:45:00+00:00,656.27,657.8257,657.8257,653.1586,651.6029,1.5557,1.5557,64,-99.57,-0.996,STOP,2026-01-02
AMZN,SHORT,2026-01-02 15:00:00+00:00,2026-01-02 15:45:00+00:00,229.16,225.7488,230.2971,226.8858,225.7488,1.1371,1.1371,87,247.88,2.479,T2,2026-01-02
AAPL,SHORT,2026-01-02 15:30:00+00:00,2026-01-02 17:00:00+00:00,272.75,269.3355,273.8882,270.4737,269.3355,1.1382,1.1382,87,248.12,2.481,T2,2026-01-02
GOOGL,SHORT,2026-01-02 15:45:00+00:00,2026-01-02 19:30:00+00:00,313.0507,315.2087,315.2087,308.7347,306.5767,2.158,2.158,46,-99.27,-0.993,STOP,2026-01-02
AVGO,SHORT,2026-01-02 20:30:00+00:00,2026-01-02 20:45:00+00:00,346.24,347.6511,347.6511,343.4179,342.0068,1.4111,1.4111,70,-98.77,-0.988,STOP,2026-01-02
META,SHORT,2026-01-13 14:30:00+00:00,2026-01-13 15:00:00+00:00,636.4867,630.6993,638.4158,632.6284,630.6993,1.9291,1.9291,51,246.93,2.469,T2,2026-01-13
NVDA,SHORT,2026-01-13 14:30:00+00:00,2026-01-13 16:00:00+00:00,184.3677,184.9096,184.9096,183.284,182.7421,0.5419,0.5419,184,-99.7,-0.997,STOP,2026-01-13
AAPL,SHORT,2026-01-13 14:45:00+00:00,2026-01-13 16:30:00+00:00,259.91,260.6355,260.6355,258.459,257.7335,0.7255,0.7255,137,-99.39,-0.994,STOP,2026-01-13
AMZN,SHORT,2026-01-13 15:00:00+00:00,2026-01-13 19:00:00+00:00,244.55,241.5484,245.5505,242.5489,241.5484,1.0005,1.0005,99,248.13,2.481,T2,2026-01-13
AVGO,SHORT,2026-01-13 20:30:00+00:00,2026-01-13 20:45:00+00:00,354.73,354.545,356.1201,351.9499,350.5598,1.3901,1.3901,71,13.13,0.131,EOD_NO_T1,2026-01-13
META,SHORT,2026-01-14 14:30:00+00:00,2026-01-14 14:45:00+00:00,621.9601,624.05,624.05,617.7802,615.6903,2.0899,2.0899,47,-98.23,-0.982,STOP,2026-01-14
NVDA,SHORT,2026-01-14 14:30:00+00:00,2026-01-14 20:45:00+00:00,182.3,183.1277,183.1277,180.6446,179.8169,0.8277,0.8277,120,-99.33,-0.993,STOP,2026-01-14
AAPL,SHORT,2026-01-14 14:30:00+00:00,2026-01-14 15:15:00+00:00,259.95,260.8421,260.8421,258.1659,257.2738,0.8921,0.8921,112,-99.91,-0.999,STOP,2026-01-14
AMZN,SHORT,2026-01-14 14:30:00+00:00,2026-01-14 15:00:00+00:00,238.6008,239.6872,239.6872,236.428,235.3416,1.0864,1.0864,92,-99.95,-0.999,STOP,2026-01-14
GOOGL,SHORT,2026-01-14 14:30:00+00:00,2026-01-14 15:15:00+00:00,333.33,333.33,334.7177,330.5545,329.1668,1.3877,1.3877,72,99.92,0.999,BE_STOP,2026-01-14
AVGO,SHORT,2026-01-14 14:30:00+00:00,2026-01-14 15:45:00+00:00,343.56,337.4275,345.6042,339.4717,337.4275,2.0442,2.0442,48,245.3,2.453,T2,2026-01-14
AMZN,SHORT,2026-01-15 14:45:00+00:00,2026-01-15 15:15:00+00:00,236.91,237.8499,237.8499,235.0303,234.0904,0.9399,0.9399,106,-99.62,-0.996,STOP,2026-01-15
GOOGL,SHORT,2026-01-15 15:15:00+00:00,2026-01-15 20:45:00+00:00,332.71,332.74,334.1718,329.7863,328.3245,1.4618,1.4618,68,-2.04,-0.02,EOD_NO_T1,2026-01-15
AAPL,SHORT,2026-01-15 19:30:00+00:00,2026-01-15 20:45:00+00:00,257.6999,258.2992,258.2992,256.5013,255.9021,0.5993,0.5993,166,-99.48,-0.995,STOP,2026-01-15
META,SHORT,2026-01-15 20:15:00+00:00,2026-01-15 20:30:00+00:00,618.45,619.8992,619.8992,615.5516,614.1023,1.4492,1.4492,69,-100.0,-1.0,STOP,2026-01-15
NVDA,SHORT,2026-01-15 20:15:00+00:00,2026-01-15 20:45:00+00:00,187.425,187.14,188.1376,185.9998,185.2872,0.7126,0.7126,140,39.9,0.399,EOD_NO_T1,2026-01-15
AVGO,SHORT,2026-01-15 20:15:00+00:00,2026-01-15 20:45:00+00:00,344.11,343.06,345.4005,341.5289,340.2384,1.2905,1.2905,77,80.85,0.808,EOD_NO_T1,2026-01-15
AAPL,SHORT,2026-01-16 14:30:00+00:00,2026-01-16 17:30:00+00:00,257.56,255.6892,258.1836,256.3128,255.6892,0.6236,0.6236,160,249.43,2.494,T2,2026-01-16
AMZN,SHORT,2026-01-16 14:30:00+00:00,2026-01-16 16:45:00+00:00,237.445,238.2683,238.2683,235.7984,234.9751,0.8233,0.8233,121,-99.62,-0.996,STOP,2026-01-16
GOOGL,SHORT,2026-01-16 14:30:00+00:00,2026-01-16 17:45:00+00:00,331.56,328.6383,332.5339,329.6122,328.6383,0.9739,0.9739,102,248.35,2.483,T2,2026-01-16
META,SHORT,2026-01-16 20:00:00+00:00,2026-01-16 20:45:00+00:00,623.2398,620.25,624.8806,619.9582,618.3174,1.6408,1.6408,60,179.39,1.794,EOD_NO_T1,2026-01-16
NVDA,SHORT,2026-01-16 20:30:00+00:00,2026-01-16 20:45:00+00:00,187.73,186.23,188.0858,187.0183,186.6624,0.3559,0.3559,281,311.14,3.111,EOD_AFTER_T1,2026-01-16
AAPL,SHORT,2026-01-20 14:30:00+00:00,2026-01-20 16:45:00+00:00,253.07,250.6597,253.8734,251.4632,250.6597,0.8034,0.8034,124,249.06,2.491,T2,2026-01-20
AMZN,SHORT,2026-01-20 14:30:00+00:00,2026-01-20 14:45:00+00:00,232.656,233.6871,233.6871,230.5939,229.5628,1.0311,1.0311,96,-98.98,-0.99,STOP,2026-01-20
