symbols,rel_vol_min,skip_minutes,atr_stop_mult,target1_r,target2_r,total_trades,wins,losses,win_rate_pct,total_pnl,avg_pnl,avg_r,score
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,15,1.0,2.0,3.0,133,65,68,48.87,6134.14,46.12,0.461,7328.19
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,30,1.0,2.0,3.0,133,65,68,48.87,6134.14,46.12,0.461,7328.19
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,45,1.0,2.0,3.0,133,65,68,48.87,6134.14,46.12,0.461,7328.19
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,15,1.0,2.0,2.5,133,65,68,48.87,5753.38,43.26,0.433,6919.43
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,30,1.0,2.0,2.5,133,65,68,48.87,5753.38,43.26,0.433,6919.43
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,45,1.0,2.0,2.5,133,65,68,48.87,5753.38,43.26,0.433,6919.43
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.0,2.0,3.0,121,60,61,49.59,5485.47,45.33,0.453,6682.32
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.0,2.0,3.0,121,60,61,49.59,5485.47,45.33,0.453,6682.32
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.0,2.0,3.0,121,60,61,49.59,5485.47,45.33,0.453,6682.32
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,15,1.0,1.5,3.0,133,69,64,51.88,5305.95,39.89,0.399,6483.15
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,30,1.0,1.5,3.0,133,69,64,51.88,5305.95,39.89,0.399,6483.15
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,45,1.0,1.5,3.0,133,69,64,51.88,5305.95,39.89,0.399,6483.15
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,15,1.2,2.0,3.0,133,65,68,48.87,5321.62,40.01,0.4,6454.67
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,30,1.2,2.0,3.0,133,65,68,48.87,5321.62,40.01,0.4,6454.67
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,45,1.2,2.0,3.0,133,65,68,48.87,5321.62,40.01,0.4,6454.67
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.0,2.0,2.5,121,60,61,49.59,5081.86,42.0,0.42,6245.71
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.0,2.0,2.5,121,60,61,49.59,5081.86,42.0,0.42,6245.71
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.0,2.0,2.5,121,60,61,49.59,5081.86,42.0,0.42,6245.71
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,15,1.2,2.0,2.5,133,65,68,48.87,5037.45,37.88,0.379,6149.5
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,30,1.2,2.0,2.5,133,65,68,48.87,5037.45,37.88,0.379,6149.5
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,45,1.2,2.0,2.5,133,65,68,48.87,5037.45,37.88,0.379,6149.5
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,15,1.5,2.0,3.0,133,69,64,51.88,4893.01,36.79,0.368,6039.21
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,30,1.5,2.0,3.0,133,69,64,51.88,4893.01,36.79,0.368,6039.21
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,45,1.5,2.0,3.0,133,69,64,51.88,4893.01,36.79,0.368,6039.21
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,15,1.5,2.0,2.5,133,69,64,51.88,4866.07,36.59,0.366,6010.27
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,30,1.5,2.0,2.5,133,69,64,51.88,4866.07,36.59,0.366,6010.27
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,45,1.5,2.0,2.5,133,69,64,51.88,4866.07,36.59,0.366,6010.27
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,15,1.0,1.5,2.5,133,69,64,51.88,4849.98,36.47,0.365,5993.18
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,30,1.0,1.5,2.5,133,69,64,51.88,4849.98,36.47,0.365,5993.18
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,45,1.0,1.5,2.5,133,69,64,51.88,4849.98,36.47,0.365,5993.18
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,15,1.2,1.5,3.0,133,70,63,52.63,4806.69,36.14,0.361,5957.14
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,30,1.2,1.5,3.0,133,70,63,52.63,4806.69,36.14,0.361,5957.14
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,45,1.2,1.5,3.0,133,70,63,52.63,4806.69,36.14,0.361,5957.14
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.0,1.5,3.0,121,64,57,52.89,4735.1,39.13,0.391,5919.45
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.0,1.5,3.0,121,64,57,52.89,4735.1,39.13,0.391,5919.45
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.0,1.5,3.0,121,64,57,52.89,4735.1,39.13,0.391,5919.45
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,15,1.0,2.0,3.0,104,50,54,48.08,4712.48,45.31,0.453,5886.68
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,30,1.0,2.0,3.0,104,50,54,48.08,4712.48,45.31,0.453,5886.68
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,45,1.0,2.0,3.0,104,50,54,48.08,4712.48,45.31,0.453,5886.68
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,15,1.5,1.5,3.0,133,73,60,54.89,4706.17,35.38,0.354,5883.52
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,30,1.5,1.5,3.0,133,73,60,54.89,4706.17,35.38,0.354,5883.52
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,45,1.5,1.5,3.0,133,73,60,54.89,4706.17,35.38,0.354,5883.52
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,15,1.5,1.5,2.5,133,73,60,54.89,4679.24,35.18,0.352,5854.59
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,30,1.5,1.5,2.5,133,73,60,54.89,4679.24,35.18,0.352,5854.59
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,45,1.5,1.5,2.5,133,73,60,54.89,4679.24,35.18,0.352,5854.59
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,15,1.2,1.5,2.5,133,70,63,52.63,4674.23,35.14,0.351,5814.68
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,30,1.2,1.5,2.5,133,70,63,52.63,4674.23,35.14,0.351,5814.68
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.0,45,1.2,1.5,2.5,133,70,63,52.63,4674.23,35.14,0.351,5814.68
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.2,2.0,3.0,121,58,63,47.93,4493.32,37.13,0.371,5583.27
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.2,2.0,3.0,121,58,63,47.93,4493.32,37.13,0.371,5583.27
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.2,2.0,3.0,121,58,63,47.93,4493.32,37.13,0.371,5583.27
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,15,1.0,2.0,2.5,104,50,54,48.08,4433.45,42.63,0.426,5580.65
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,30,1.0,2.0,2.5,104,50,54,48.08,4433.45,42.63,0.426,5580.65
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,45,1.0,2.0,2.5,104,50,54,48.08,4433.45,42.63,0.426,5580.65
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,15,1.0,1.5,3.0,104,55,49,52.88,4279.51,41.15,0.411,5483.71
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,30,1.0,1.5,3.0,104,55,49,52.88,4279.51,41.15,0.411,5483.71
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.4,45,1.0,1.5,3.0,104,55,49,52.88,4279.51,41.15,0.411,5483.71
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.0,1.5,2.5,121,64,57,52.89,4256.28,35.18,0.352,5401.63
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.0,1.5,2.5,121,64,57,52.89,4256.28,35.18,0.352,5401.63
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.0,1.5,2.5,121,64,57,52.89,4256.28,35.18,0.352,5401.63
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.2,2.0,2.5,121,58,63,47.93,4234.05,34.99,0.35,5303.0
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.2,2.0,2.5,121,58,63,47.93,4234.05,34.99,0.35,5303.0
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.2,2.0,2.5,121,58,63,47.93,4234.05,34.99,0.35,5303.0
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.5,2.0,3.0,121,62,59,51.24,4169.09,34.46,0.345,5282.69
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.5,2.0,3.0,121,62,59,51.24,4169.09,34.46,0.345,5282.69
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.5,2.0,3.0,121,62,59,51.24,4169.09,34.46,0.345,5282.69
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.5,2.0,2.5,121,62,59,51.24,4167.38,34.44,0.344,5279.98
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.5,2.0,2.5,121,62,59,51.24,4167.38,34.44,0.344,5279.98
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.5,2.0,2.5,121,62,59,51.24,4167.38,34.44,0.344,5279.98
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.2,1.5,3.0,121,63,58,52.07,4113.04,33.99,0.34,5234.09
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.2,1.5,3.0,121,63,58,52.07,4113.04,33.99,0.34,5234.09
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.2,1.5,3.0,121,63,58,52.07,4113.04,33.99,0.34,5234.09
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.2,1.5,2.5,121,63,58,52.07,4005.49,33.1,0.331,5117.54
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.2,1.5,2.5,121,63,58,52.07,4005.49,33.1,0.331,5117.54
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.2,1.5,2.5,121,63,58,52.07,4005.49,33.1,0.331,5117.54
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.5,1.5,3.0,121,66,55,54.55,3966.0,32.78,0.328,5112.25
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,30,1.5,1.5,3.0,121,66,55,54.55,3966.0,32.78,0.328,5112.25
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,45,1.5,1.5,3.0,121,66,55,54.55,3966.0,32.78,0.328,5112.25
"META,NVDA,AAPL,AMZN,GOOGL,AVGO",1.2,15,1.5,1.5,2.5,121,66,55,54.55,3964.3,32.76,0.328,5110.55
