strategy_name,min_score,rel_vol_min,atr_stop_mult,target1_r,target2_r,train_trades,train_win_rate_pct,train_total_pnl,train_avg_r,test_trades,test_win_rate_pct,test_total_pnl,test_avg_r,test_max_losing_streak,score
C_ms40_rv1.0_atr0.8_t11.5_t22.5,40,1.0,0.8,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.0_atr0.8_t11.5_t23.0,40,1.0,0.8,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.0_atr0.8_t12.0_t22.5,40,1.0,0.8,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.0_atr0.8_t12.0_t23.0,40,1.0,0.8,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.0_atr1.0_t11.5_t22.5,40,1.0,1.0,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.0_atr1.0_t11.5_t23.0,40,1.0,1.0,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.0_atr1.0_t12.0_t22.5,40,1.0,1.0,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.0_atr1.0_t12.0_t23.0,40,1.0,1.0,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.0_atr1.2_t11.5_t22.5,40,1.0,1.2,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.0_atr1.2_t11.5_t23.0,40,1.0,1.2,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.0_atr1.2_t12.0_t22.5,40,1.0,1.2,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.0_atr1.2_t12.0_t23.0,40,1.0,1.2,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.2_atr0.8_t11.5_t22.5,40,1.2,0.8,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.2_atr0.8_t11.5_t23.0,40,1.2,0.8,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.2_atr0.8_t12.0_t22.5,40,1.2,0.8,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.2_atr0.8_t12.0_t23.0,40,1.2,0.8,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.2_atr1.0_t11.5_t22.5,40,1.2,1.0,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.2_atr1.0_t11.5_t23.0,40,1.2,1.0,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.2_atr1.0_t12.0_t22.5,40,1.2,1.0,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.2_atr1.0_t12.0_t23.0,40,1.2,1.0,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.2_atr1.2_t11.5_t22.5,40,1.2,1.2,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.2_atr1.2_t11.5_t23.0,40,1.2,1.2,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.2_atr1.2_t12.0_t22.5,40,1.2,1.2,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.2_atr1.2_t12.0_t23.0,40,1.2,1.2,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.4_atr0.8_t11.5_t22.5,40,1.4,0.8,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.4_atr0.8_t11.5_t23.0,40,1.4,0.8,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.4_atr0.8_t12.0_t22.5,40,1.4,0.8,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.4_atr0.8_t12.0_t23.0,40,1.4,0.8,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.4_atr1.0_t11.5_t22.5,40,1.4,1.0,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.4_atr1.0_t11.5_t23.0,40,1.4,1.0,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.4_atr1.0_t12.0_t22.5,40,1.4,1.0,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.4_atr1.0_t12.0_t23.0,40,1.4,1.0,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.4_atr1.2_t11.5_t22.5,40,1.4,1.2,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.4_atr1.2_t11.5_t23.0,40,1.4,1.2,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.4_atr1.2_t12.0_t22.5,40,1.4,1.2,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms40_rv1.4_atr1.2_t12.0_t23.0,40,1.4,1.2,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.0_atr0.8_t11.5_t22.5,45,1.0,0.8,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.0_atr0.8_t11.5_t23.0,45,1.0,0.8,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.0_atr0.8_t12.0_t22.5,45,1.0,0.8,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.0_atr0.8_t12.0_t23.0,45,1.0,0.8,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.0_atr1.0_t11.5_t22.5,45,1.0,1.0,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.0_atr1.0_t11.5_t23.0,45,1.0,1.0,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.0_atr1.0_t12.0_t22.5,45,1.0,1.0,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.0_atr1.0_t12.0_t23.0,45,1.0,1.0,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.0_atr1.2_t11.5_t22.5,45,1.0,1.2,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.0_atr1.2_t11.5_t23.0,45,1.0,1.2,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.0_atr1.2_t12.0_t22.5,45,1.0,1.2,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.0_atr1.2_t12.0_t23.0,45,1.0,1.2,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.2_atr0.8_t11.5_t22.5,45,1.2,0.8,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.2_atr0.8_t11.5_t23.0,45,1.2,0.8,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.2_atr0.8_t12.0_t22.5,45,1.2,0.8,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.2_atr0.8_t12.0_t23.0,45,1.2,0.8,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.2_atr1.0_t11.5_t22.5,45,1.2,1.0,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.2_atr1.0_t11.5_t23.0,45,1.2,1.0,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.2_atr1.0_t12.0_t22.5,45,1.2,1.0,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.2_atr1.0_t12.0_t23.0,45,1.2,1.0,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.2_atr1.2_t11.5_t22.5,45,1.2,1.2,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.2_atr1.2_t11.5_t23.0,45,1.2,1.2,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.2_atr1.2_t12.0_t22.5,45,1.2,1.2,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.2_atr1.2_t12.0_t23.0,45,1.2,1.2,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.4_atr0.8_t11.5_t22.5,45,1.4,0.8,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.4_atr0.8_t11.5_t23.0,45,1.4,0.8,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.4_atr0.8_t12.0_t22.5,45,1.4,0.8,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.4_atr0.8_t12.0_t23.0,45,1.4,0.8,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.4_atr1.0_t11.5_t22.5,45,1.4,1.0,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.4_atr1.0_t11.5_t23.0,45,1.4,1.0,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.4_atr1.0_t12.0_t22.5,45,1.4,1.0,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.4_atr1.0_t12.0_t23.0,45,1.4,1.0,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.4_atr1.2_t11.5_t22.5,45,1.4,1.2,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.4_atr1.2_t11.5_t23.0,45,1.4,1.2,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.4_atr1.2_t12.0_t22.5,45,1.4,1.2,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms45_rv1.4_atr1.2_t12.0_t23.0,45,1.4,1.2,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms50_rv1.0_atr0.8_t11.5_t22.5,50,1.0,0.8,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms50_rv1.0_atr0.8_t11.5_t23.0,50,1.0,0.8,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms50_rv1.0_atr0.8_t12.0_t22.5,50,1.0,0.8,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms50_rv1.0_atr0.8_t12.0_t23.0,50,1.0,0.8,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms50_rv1.0_atr1.0_t11.5_t22.5,50,1.0,1.0,1.5,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms50_rv1.0_atr1.0_t11.5_t23.0,50,1.0,1.0,1.5,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
C_ms50_rv1.0_atr1.0_t12.0_t22.5,50,1.0,1.0,2.0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1000.0
