strategy,symbol,side,trade_date,entry_time,exit_time,entry_price,stop_price,target1_price,target2_price,exit_price,shares,pnl,r_multiple,outcome,sample
A_Breakdown_Continuation,NVDA,SHORT,2025-12-17,2025-12-17 15:45:00+00:00,2025-12-17 20:45:00+00:00,172.37,173.4786,170.7071,169.5984,170.92,90,140.08,1.401,eod_win,IN
A_Breakdown_Continuation,META,SHORT,2025-12-31,2025-12-31 20:15:00+00:00,2025-12-31 20:45:00+00:00,660.605,661.5133,659.2424,658.3341,659.9,110,77.55,0.775,eod_win,IN
A_Breakdown_Continuation,META,SHORT,2026-01-07,2026-01-07 15:15:00+00:00,2026-01-07 16:00:00+00:00,647.3,649.7228,643.6658,641.243,649.7228,41,-99.34,-0.993,stop,IN
A_Breakdown_Continuation,AAPL,SHORT,2026-01-07,2026-01-07 20:45:00+00:00,2026-01-07 20:45:00+00:00,260.6815,261.2775,259.7875,259.1915,260.36,167,53.69,0.537,eod_win,IN
A_Breakdown_Continuation,AAPL,SHORT,2026-01-15,2026-01-15 19:45:00+00:00,2026-01-15 20:45:00+00:00,257.69,258.2893,256.7911,256.1918,258.2893,166,-99.48,-0.995,stop,IN
A_Breakdown_Continuation,AAPL,SHORT,2026-01-20,2026-01-20 15:15:00+00:00,2026-01-20 16:00:00+00:00,251.17,252.1213,249.7431,248.7918,252.1213,105,-99.88,-0.999,stop,IN
A_Breakdown_Continuation,META,SHORT,2026-01-20,2026-01-20 20:45:00+00:00,2026-01-20 20:45:00+00:00,603.51,604.954,601.344,599.8999,604.67,69,-80.04,-0.8,eod_loss,IN
A_Breakdown_Continuation,AAPL,SHORT,2026-01-22,2026-01-22 20:00:00+00:00,2026-01-22 20:45:00+00:00,248.86,249.4575,247.9638,247.3663,248.36,167,83.5,0.835,eod_win,IN
A_Breakdown_Continuation,NVDA,SHORT,2026-02-05,2026-02-05 15:15:00+00:00,2026-02-05 15:30:00+00:00,171.46,172.934,169.249,167.775,172.934,67,-98.76,-0.988,stop,IN
A_Breakdown_Continuation,NVDA,SHORT,2026-02-10,2026-02-10 15:15:00+00:00,2026-02-10 15:45:00+00:00,188.54,190.0563,186.2656,184.7493,190.0563,65,-98.56,-0.986,stop,IN
A_Breakdown_Continuation,META,SHORT,2026-02-10,2026-02-10 16:00:00+00:00,2026-02-10 17:30:00+00:00,671.915,675.2421,666.9243,663.5971,675.2421,30,-99.81,-0.998,stop,IN
A_Breakdown_Continuation,META,SHORT,2026-02-11,2026-02-11 15:15:00+00:00,2026-02-11 15:45:00+00:00,664.22,667.5626,659.2061,655.8635,667.5626,29,-96.94,-0.969,stop,IN
A_Breakdown_Continuation,AAPL,SHORT,2026-02-12,2026-02-12 15:15:00+00:00,2026-02-12 15:15:00+00:00,270.26,271.6398,268.1903,266.8105,271.6398,72,-99.35,-0.993,stop,IN
A_Breakdown_Continuation,NVDA,SHORT,2026-02-12,2026-02-12 15:45:00+00:00,2026-02-12 20:30:00+00:00,189.78,190.8335,188.1997,187.1461,187.1461,94,198.07,1.981,target2,IN
A_Breakdown_Continuation,META,SHORT,2026-02-12,2026-02-12 16:00:00+00:00,2026-02-12 17:30:00+00:00,652.6,656.4592,646.8111,642.9518,656.4592,25,19.3,0.193,stop,IN
A_Breakdown_Continuation,META,SHORT,2026-02-13,2026-02-13 20:15:00+00:00,2026-02-13 20:45:00+00:00,642.6187,644.7608,639.4056,637.2635,639.76,46,139.65,1.397,eod_win,IN
