symbol,date,entry_time,exit_time,side,entry,stop,target1,target2,shares,pnl,r_multiple,exit_reason
NVDA,2025-12-17,2025-12-17 19:45:00+00:00,2025-12-17 20:45:00+00:00,SHORT,171.1458,171.9878,169.4618,168.6198,118,22.61,0.228,EOD
NVDA,2025-12-31,2025-12-31 19:45:00+00:00,2025-12-31 20:45:00+00:00,SHORT,187.6576,188.0434,186.886,186.5002,259,240.32,2.405,TARGET2
META,2025-12-31,2025-12-31 20:00:00+00:00,2025-12-31 20:45:00+00:00,SHORT,661.5376,662.3817,659.8494,659.0053,118,180.65,1.814,EOD
MSFT,2025-12-31,2025-12-31 20:00:00+00:00,2025-12-31 20:45:00+00:00,SHORT,484.963,485.5366,483.8158,483.2422,174,197.2,1.976,EOD
AAPL,2025-12-31,2025-12-31 20:30:00+00:00,2025-12-31 20:30:00+00:00,SHORT,272.0356,272.4166,271.2736,270.8926,262,-114.1,-1.143,STOP
NVDA,2026-01-20,2026-01-20 19:45:00+00:00,2026-01-20 20:45:00+00:00,SHORT,179.3391,179.9574,178.1025,177.4842,161,184.65,1.855,EOD
AAPL,2026-01-20,2026-01-20 19:45:00+00:00,2026-01-20 20:15:00+00:00,SHORT,247.6505,248.3527,246.2461,245.5439,142,242.3,2.43,TARGET2
META,2026-01-20,2026-01-20 20:00:00+00:00,2026-01-20 20:45:00+00:00,SHORT,604.5791,606.0667,601.6039,600.1163,67,-14.19,-0.142,EOD
META,2026-02-03,2026-02-03 19:45:00+00:00,2026-02-03 20:30:00+00:00,SHORT,687.3925,690.3339,681.5097,678.5683,33,-101.62,-1.047,STOP
NVDA,2026-02-03,2026-02-03 19:45:00+00:00,2026-02-03 19:45:00+00:00,SHORT,176.9296,177.9049,174.979,174.0037,102,-103.11,-1.037,STOP
MSFT,2026-02-03,2026-02-03 19:45:00+00:00,2026-02-03 20:30:00+00:00,SHORT,409.1881,410.8386,405.8871,404.2366,60,-103.96,-1.05,STOP
META,2026-02-04,2026-02-04 19:45:00+00:00,2026-02-04 19:45:00+00:00,SHORT,670.7708,674.21,663.8924,660.4532,29,-103.65,-1.039,STOP
NVDA,2026-02-04,2026-02-04 20:15:00+00:00,2026-02-04 20:30:00+00:00,SHORT,174.2651,175.5162,171.7629,170.5118,79,-101.61,-1.028,STOP
NVDA,2026-02-05,2026-02-05 19:45:00+00:00,2026-02-05 20:00:00+00:00,SHORT,173.0454,174.1116,170.913,169.8468,93,-102.39,-1.033,STOP
MSFT,2026-02-05,2026-02-05 19:45:00+00:00,2026-02-05 20:45:00+00:00,SHORT,398.0104,399.9097,394.2118,392.3125,52,209.34,2.12,EOD
AAPL,2026-02-05,2026-02-05 20:15:00+00:00,2026-02-05 20:45:00+00:00,SHORT,276.5587,277.5825,274.5111,273.4873,97,56.6,0.57,EOD
NVDA,2026-02-11,2026-02-11 20:30:00+00:00,2026-02-11 20:45:00+00:00,SHORT,191.0118,191.6132,189.809,189.2076,166,156.67,1.569,EOD
MSFT,2026-02-11,2026-02-11 20:30:00+00:00,2026-02-11 20:45:00+00:00,SHORT,403.8792,405.0719,401.4938,400.3011,83,-105.72,-1.068,STOP
META,2026-02-12,2026-02-12 19:45:00+00:00,2026-02-12 20:45:00+00:00,SHORT,652.9494,656.4679,645.9124,642.3939,28,86.92,0.882,EOD
NVDA,2026-02-12,2026-02-12 19:45:00+00:00,2026-02-12 20:45:00+00:00,SHORT,189.0322,190.097,186.9026,185.8378,93,194.23,1.961,EOD
AAPL,2026-02-12,2026-02-12 19:45:00+00:00,2026-02-12 20:45:00+00:00,SHORT,261.6077,262.9726,258.8779,257.513,73,-2.53,-0.025,EOD
META,2026-02-23,2026-02-23 19:45:00+00:00,2026-02-23 20:45:00+00:00,SHORT,639.2571,641.1391,635.4931,633.6111,53,96.44,0.967,EOD
MSFT,2026-02-23,2026-02-23 19:45:00+00:00,2026-02-23 20:45:00+00:00,SHORT,384.3916,385.4691,382.2366,381.1591,92,-18.89,-0.191,EOD
NVDA,2026-02-26,2026-02-26 19:45:00+00:00,2026-02-26 20:45:00+00:00,SHORT,185.2479,186.3906,182.9625,181.8198,87,27.05,0.272,EOD
AAPL,2026-02-26,2026-02-26 19:45:00+00:00,2026-02-26 20:45:00+00:00,SHORT,273.1553,273.8738,271.7183,270.9998,139,15.39,0.154,EOD
MSFT,2026-02-26,2026-02-26 20:30:00+00:00,2026-02-26 20:45:00+00:00,SHORT,401.2098,402.4418,398.7458,397.5138,81,-55.13,-0.552,EOD
META,2026-03-12,2026-03-12 18:45:00+00:00,2026-03-12 19:45:00+00:00,SHORT,638.9122,641.4081,633.9204,631.4245,40,24.98,0.25,EOD
AAPL,2026-03-12,2026-03-12 18:45:00+00:00,2026-03-12 19:15:00+00:00,SHORT,255.079,255.7917,253.6536,252.9409,140,-106.95,-1.072,STOP
MSFT,2026-03-12,2026-03-12 19:15:00+00:00,2026-03-12 19:45:00+00:00,SHORT,402.9344,404.1167,400.5698,399.3875,84,80.98,0.815,EOD
META,2026-03-13,2026-03-13 18:45:00+00:00,2026-03-13 19:45:00+00:00,SHORT,613.7073,616.3788,608.3643,605.6928,37,-1.68,-0.017,EOD
NVDA,2026-03-13,2026-03-13 18:45:00+00:00,2026-03-13 19:45:00+00:00,SHORT,180.9438,181.664,179.5034,178.7832,138,88.69,0.892,EOD
AAPL,2026-03-13,2026-03-13 18:45:00+00:00,2026-03-13 19:45:00+00:00,SHORT,251.7296,252.5687,250.0514,249.2123,119,189.94,1.902,EOD
MSFT,2026-03-13,2026-03-13 18:45:00+00:00,2026-03-13 19:45:00+00:00,SHORT,395.7408,397.0113,393.1998,391.9293,78,4.03,0.041,EOD
