symbol,date,bias,score,entry_time,entry_price,stop_price,target1,target2,shares,exit_reason,exit_price,pnl,r_multiple,rel_vol_at_signal,atr_at_signal
AMZN,2025-12-16,SHORT,90,2025-12-16 20:15:00+00:00,222.34,222.9493,221.426,220.8167,164,stop,222.9493,-99.93,-1.0,0.919,0.6093
GOOGL,2025-12-16,SHORT,70,2025-12-16 20:15:00+00:00,305.06,305.9977,303.6534,302.7157,106,stop,305.9977,-99.4,-1.0,0.756,0.9377
AMZN,2025-12-17,SHORT,90,2025-12-17 20:15:00+00:00,222.205,222.8467,221.2424,220.6006,155,breakeven_after_t1,222.205,74.12,0.745,1.076,0.6417
META,2025-12-17,SHORT,70,2025-12-17 20:00:00+00:00,654.02,656.1585,650.8122,648.6737,46,breakeven_after_t1,654.02,73.78,0.75,0.603,2.1385
NVDA,2025-12-17,SHORT,70,2025-12-17 20:15:00+00:00,171.08,171.8912,169.8632,169.052,123,end_of_day,170.92,19.68,0.197,0.658,0.8112
AVGO,2025-12-18,SHORT,70,2025-12-18 20:00:00+00:00,327.03,328.9206,324.1941,322.3036,52,stop,328.9206,-98.31,-1.0,0.646,1.8906
META,2025-12-18,SHORT,60,2025-12-18 19:45:00+00:00,663.955,665.9641,660.9414,658.9324,49,stop,665.9641,-98.44,-1.0,0.564,2.0091
NVDA,2025-12-18,SHORT,60,2025-12-18 19:45:00+00:00,174.2,174.8675,173.1988,172.5313,149,stop,174.8675,-99.46,-1.0,0.422,0.6675
AAPL,2025-12-19,SHORT,90,2025-12-19 20:15:00+00:00,271.2,271.7962,270.3058,269.7096,167,breakeven_after_t1,271.2,74.22,0.746,1.078,0.5961
GOOGL,2025-12-19,SHORT,90,2025-12-19 20:45:00+00:00,303.95,304.472,303.167,302.645,191,stop,304.472,-99.7,-1.0,1.568,0.522
AVGO,2025-12-19,SHORT,90,2025-12-19 20:45:00+00:00,335.37,336.7609,333.2837,331.8928,71,stop,336.7609,-98.75,-1.0,1.724,1.3909
AAPL,2025-12-22,SHORT,90,2025-12-22 20:30:00+00:00,270.715,271.1183,270.1101,269.7068,247,stop,271.1183,-99.61,-1.0,1.163,0.4033
META,2025-12-22,SHORT,70,2025-12-22 19:45:00+00:00,659.005,660.7971,656.3169,654.5248,55,stop,660.7971,-98.56,-1.0,0.479,1.7921
NVDA,2025-12-22,SHORT,60,2025-12-22 20:30:00+00:00,183.285,183.5893,182.8285,182.5242,328,stop,183.5893,-99.82,-1.0,0.636,0.3043
META,2025-12-26,SHORT,90,2025-12-26 20:15:00+00:00,662.655,663.5785,661.2699,660.3465,108,stop,663.5785,-99.73,-1.0,1.026,0.9234
NVDA,2025-12-26,SHORT,90,2025-12-26 20:30:00+00:00,191.42,191.8662,190.7508,190.3046,224,breakeven_after_t1,191.42,74.95,0.75,0.83,0.4462
AAPL,2025-12-26,SHORT,90,2025-12-26 19:45:00+00:00,274.51,274.8194,274.0459,273.7365,323,target2,273.7365,200.03,2.002,0.84,0.3094
AVGO,2025-12-30,SHORT,90,2025-12-30 20:15:00+00:00,350.0385,350.7683,348.9439,348.2141,137,stop,350.7683,-99.98,-1.0,1.073,0.7297
META,2025-12-30,SHORT,80,2025-12-30 20:45:00+00:00,666.54,667.4462,665.1806,664.2743,110,end_of_day,665.91,69.3,0.695,1.804,0.9063
NVDA,2025-12-30,SHORT,60,2025-12-30 19:45:00+00:00,187.89,188.2229,187.3907,187.0578,300,end_of_day,187.55,102.0,1.021,0.525,0.3329
META,2025-12-31,SHORT,90,2025-12-31 20:15:00+00:00,660.605,661.5133,659.2424,658.3341,110,end_of_day,659.9,77.55,0.776,1.506,0.9084
AAPL,2025-12-31,SHORT,90,2025-12-31 20:15:00+00:00,272.32,272.6974,271.7539,271.3765,264,stop,272.6974,-99.63,-1.0,1.034,0.3774
AMZN,2025-12-31,SHORT,90,2025-12-31 19:45:00+00:00,231.47,231.7753,231.0121,230.7068,327,stop,231.7753,-99.83,-1.0,1.418,0.3053
NVDA,2026-01-02,SHORT,90,2026-01-02 20:45:00+00:00,188.72,189.3081,187.8379,187.2499,170,end_of_day,188.8099,-15.28,-0.153,0.834,0.5881
AVGO,2026-01-02,SHORT,90,2026-01-02 20:45:00+00:00,346.245,347.6561,344.1284,342.7173,70,stop,347.6561,-98.77,-1.0,1.111,1.4111
AAPL,2026-01-02,SHORT,70,2026-01-02 20:00:00+00:00,270.36,271.0182,269.3727,268.7145,151,stop,271.0182,-99.39,-1.0,0.677,0.6582
NVDA,2026-01-05,SHORT,90,2026-01-05 19:45:00+00:00,186.365,187.1637,185.167,184.3684,125,stop,187.1637,-99.83,-1.0,0.871,0.7987
GOOGL,2026-01-05,SHORT,90,2026-01-05 19:45:00+00:00,315.73,316.5747,314.463,313.6184,118,stop,316.5747,-99.67,-1.0,0.832,0.8446
META,2026-01-05,SHORT,80,2026-01-05 20:45:00+00:00,660.44,661.8773,658.2841,656.8468,69,breakeven_after_t1,660.44,73.3,0.739,1.086,1.4373
NVDA,2026-01-06,SHORT,90,2026-01-06 20:30:00+00:00,186.94,187.5094,186.0859,185.5165,175,stop,187.5094,-99.64,-1.0,1.127,0.5694
AAPL,2026-01-06,SHORT,90,2026-01-06 20:00:00+00:00,262.655,263.1663,261.888,261.3766,195,end_of_day,262.425,44.85,0.45,0.82,0.5114
GOOGL,2026-01-06,SHORT,90,2026-01-06 19:45:00+00:00,313.34,314.1152,312.1771,311.4019,128,stop,314.1152,-99.23,-1.0,1.379,0.7752
META,2026-01-07,SHORT,90,2026-01-07 20:45:00+00:00,649.17,650.9155,646.5516,644.8061,57,end_of_day,648.66,29.07,0.292,1.108,1.7456
AAPL,2026-01-07,SHORT,90,2026-01-07 20:15:00+00:00,261.48,262.0561,260.6159,260.0399,173,target2,260.0399,199.6,2.003,0.895,0.5761
AMZN,2026-01-07,SHORT,90,2026-01-07 20:15:00+00:00,242.06,242.8471,240.8794,240.0924,127,end_of_day,241.575,61.6,0.616,0.887,0.7871
NVDA,2026-01-08,SHORT,90,2026-01-08 20:00:00+00:00,184.65,185.2703,183.7195,183.0993,161,stop,185.2703,-99.87,-1.0,0.821,0.6203
AVGO,2026-01-08,SHORT,90,2026-01-08 20:45:00+00:00,331.62,332.7487,329.9269,328.7982,88,stop,332.7487,-99.33,-1.0,2.1,1.1287
GOOGL,2026-01-08,SHORT,60,2026-01-08 19:45:00+00:00,324.82,325.8525,323.2712,322.2387,96,end_of_day,325.36,-51.84,-0.523,0.524,1.0325
GOOGL,2026-01-09,SHORT,90,2026-01-09 20:00:00+00:00,329.38,330.1228,328.2658,327.523,134,stop,330.1228,-99.53,-1.0,0.882,0.7428
NVDA,2026-01-09,SHORT,80,2026-01-09 20:45:00+00:00,185.33,185.7837,184.6494,184.1957,220,end_of_day,184.85,105.6,1.058,1.133,0.4537
META,2026-01-09,SHORT,60,2026-01-09 20:00:00+00:00,651.4,652.7612,649.3583,647.9971,73,stop,652.7612,-99.36,-1.0,0.663,1.3612
META,2026-01-12,SHORT,90,2026-01-12 20:45:00+00:00,645.0,646.4605,642.8092,641.3487,68,breakeven_after_t1,645.0,74.49,0.75,3.682,1.4605
AMZN,2026-01-12,SHORT,90,2026-01-12 20:15:00+00:00,247.63,248.1414,246.8629,246.3515,195,breakeven_after_t1,247.63,74.41,0.746,1.21,0.5114
NVDA,2026-01-12,SHORT,80,2026-01-12 20:45:00+00:00,185.53,186.003,184.8206,184.3476,211,breakeven_after_t1,185.53,74.49,0.746,0.976,0.473
AMZN,2026-01-13,SHORT,90,2026-01-13 20:15:00+00:00,241.9099,242.8038,240.569,239.6751,111,stop,242.8038,-99.23,-1.0,0.857,0.8939
GOOGL,2026-01-13,SHORT,90,2026-01-13 20:15:00+00:00,335.56,336.7308,333.8039,332.6331,85,end_of_day,336.0,-37.4,-0.376,0.915,1.1708
AVGO,2026-01-13,SHORT,80,2026-01-13 20:15:00+00:00,355.355,356.8645,353.0908,351.5813,66,end_of_day,354.545,53.46,0.537,0.963,1.5095
META,2026-01-14,SHORT,90,2026-01-14 20:30:00+00:00,617.89,619.4864,615.4954,613.899,62,breakeven_after_t1,617.89,74.23,0.75,0.861,1.5964
NVDA,2026-01-14,SHORT,90,2026-01-14 20:00:00+00:00,181.355,181.9073,180.5265,179.9742,181,stop,181.9073,-99.97,-1.0,0.953,0.5523
AMZN,2026-01-14,SHORT,90,2026-01-14 20:45:00+00:00,237.115,237.8434,236.0224,235.2939,137,end_of_day,236.675,60.28,0.604,1.503,0.7284
META,2026-01-15,SHORT,90,2026-01-15 20:15:00+00:00,618.74,620.1871,616.5694,615.1223,69,stop,620.1871,-99.85,-1.0,0.848,1.4471
NVDA,2026-01-15,SHORT,90,2026-01-15 20:15:00+00:00,188.19,188.8865,187.1452,186.4487,143,target2,186.4487,199.56,2.003,0.88,0.6965
AAPL,2026-01-15,SHORT,90,2026-01-15 19:45:00+00:00,257.69,258.2893,256.7911,256.1918,166,stop,258.2893,-99.48,-1.0,1.33,0.5993
META,2026-01-16,SHORT,90,2026-01-16 20:15:00+00:00,623.24,624.8808,620.7788,619.138,60,end_of_day,620.25,163.54,1.661,2.51,1.6408
NVDA,2026-01-16,SHORT,90,2026-01-16 20:15:00+00:00,187.825,188.2114,187.2453,186.8589,258,target2,186.8589,199.4,2.0,0.841,0.3864
AAPL,2026-01-16,SHORT,90,2026-01-16 20:15:00+00:00,256.1701,256.7859,255.2465,254.6307,162,end_of_day,255.48,130.71,1.31,0.84,0.6157
META,2026-01-20,SHORT,90,2026-01-20 20:15:00+00:00,602.91,604.3862,600.6957,599.2195,67,stop,604.3862,-98.9,-1.0,1.11,1.4762
NVDA,2026-01-20,SHORT,90,2026-01-20 20:15:00+00:00,178.87,179.4187,178.047,177.4983,182,breakeven_after_t1,178.87,74.89,0.75,0.823,0.5487
AAPL,2026-01-20,SHORT,90,2026-01-20 20:00:00+00:00,246.95,247.6458,245.9063,245.2105,143,breakeven_after_t1,246.95,74.1,0.745,1.287,0.6958
AVGO,2026-01-21,SHORT,90,2026-01-21 20:30:00+00:00,327.72,329.6717,324.7925,322.8408,51,end_of_day,328.79,-54.57,-0.548,0.867,1.9517
AAPL,2026-01-22,SHORT,90,2026-01-22 19:45:00+00:00,249.52,250.0968,248.6549,248.0781,173,end_of_day,248.36,175.32,1.757,1.157,0.5768
GOOGL,2026-01-22,SHORT,90,2026-01-22 20:15:00+00:00,330.56,331.1831,329.6254,329.0023,160,breakeven_after_t1,330.56,74.77,0.75,0.933,0.6231
AVGO,2026-01-22,SHORT,90,2026-01-22 20:45:00+00:00,325.22,326.0926,323.9111,323.0386,114,end_of_day,325.49,-30.78,-0.309,0.904,0.8726
