window,symbol,signal_time,entry_time,exit_time,bias,score,entry_price,stop_price,target_1,target_2,risk_per_share,shares,atr_14,hit_t1,exit_reason,pnl_dollars,r_multiple,reasons
Window_1,META,2025-12-29 09:30:00-05:00,2025-12-29 09:45:00-05:00,2025-12-30 09:30:00-05:00,SHORT,95,658.09,660.26,653.74,651.57,2.1732,46,1.4488,False,stop,-99.97,-1.0,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_1,NVDA,2025-12-29 09:30:00-05:00,2025-12-29 09:45:00-05:00,2025-12-30 15:45:00-05:00,SHORT,95,187.9,189.11,185.5,184.3,1.201,83,0.8007,False,end_of_window,29.46,0.295,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_1,GOOGL,2025-12-29 09:30:00-05:00,2025-12-29 09:45:00-05:00,2025-12-29 10:30:00-05:00,SHORT,95,312.37,313.15,310.81,310.03,0.7806,128,0.5204,False,stop,-99.92,-0.999,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_1,AMZN,2025-12-30 09:30:00-05:00,2025-12-30 09:45:00-05:00,2025-12-30 09:45:00-05:00,SHORT,65,231.1,231.75,229.79,229.14,0.6533,153,0.4355,False,stop,-99.96,-1.0,"below 15m 20-bar average, negative 15m momentum, strong relative volume, traded through prior support, 1h trend bearish"
Window_2,NVDA,2025-12-31 15:45:00-05:00,2026-01-02 09:30:00-05:00,2026-01-02 09:30:00-05:00,SHORT,95,190.0,190.68,188.63,187.95,0.6826,146,0.455,False,stop,-99.65,-0.997,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,AAPL,2025-12-31 15:45:00-05:00,2026-01-02 09:30:00-05:00,2026-01-02 09:30:00-05:00,SHORT,65,272.0,272.67,270.65,269.98,0.6727,148,0.4485,False,stop,-99.56,-0.996,"below 15m 20-bar average, negative 15m momentum, strong relative volume, traded through prior support, 1h trend bearish"
Window_2,AVGO,2025-12-31 15:45:00-05:00,2026-01-02 09:30:00-05:00,2026-01-02 09:30:00-05:00,SHORT,95,352.0,353.26,349.49,348.23,1.2551,79,0.8367,False,stop,-99.15,-0.992,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,META,2026-01-02 10:15:00-05:00,2026-01-02 10:30:00-05:00,2026-01-05 09:30:00-05:00,SHORT,60,654.46,658.37,646.64,642.74,3.9079,25,2.6052,True,stop_after_t1,93.79,0.938,"below 15m 20-bar average, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,AMZN,2026-01-02 10:15:00-05:00,2026-01-02 10:30:00-05:00,2026-01-05 09:30:00-05:00,SHORT,95,227.51,229.43,223.67,221.75,1.9214,52,1.2809,False,stop,-99.91,-0.999,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,META,2026-01-02 10:45:00-05:00,2026-01-02 11:00:00-05:00,2026-01-05 09:30:00-05:00,SHORT,95,648.61,653.62,638.6,633.59,5.0064,19,3.3376,False,stop,-95.12,-0.951,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,AAPL,2026-01-02 10:45:00-05:00,2026-01-02 11:00:00-05:00,2026-01-06 09:30:00-05:00,SHORT,75,270.65,272.6,266.74,264.79,1.9526,51,1.3017,True,target_2,249.93,2.499,"below 15m 20-bar average, negative 15m momentum, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,AMZN,2026-01-02 10:45:00-05:00,2026-01-02 11:00:00-05:00,2026-01-05 09:30:00-05:00,SHORT,95,225.69,228.02,221.02,218.69,2.335,42,1.5567,False,stop,-98.07,-0.981,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,META,2026-01-08 09:30:00-05:00,2026-01-08 09:45:00-05:00,2026-01-08 09:45:00-05:00,SHORT,95,636.8,640.41,629.57,625.96,3.6148,27,2.4099,False,stop,-97.6,-0.976,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,NVDA,2026-01-08 09:30:00-05:00,2026-01-08 09:45:00-05:00,2026-01-08 12:00:00-05:00,SHORT,95,187.02,187.99,185.1,184.14,0.9619,103,0.6413,True,target_2,248.18,2.482,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,AAPL,2026-01-08 09:30:00-05:00,2026-01-08 09:45:00-05:00,2026-01-08 11:30:00-05:00,SHORT,95,256.12,257.5,253.35,251.97,1.3841,72,0.9228,False,stop,-99.66,-0.997,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,AVGO,2026-01-08 09:30:00-05:00,2026-01-08 09:45:00-05:00,2026-01-09 09:30:00-05:00,SHORT,95,335.65,337.91,331.15,328.9,2.2517,44,1.5012,True,stop_after_t1,99.08,0.991,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,META,2026-01-12 09:30:00-05:00,2026-01-12 09:45:00-05:00,2026-01-12 15:45:00-05:00,SHORT,95,649.0,651.49,644.02,641.54,2.4876,40,1.6584,True,target_2,248.76,2.488,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,META,2026-01-14 09:30:00-05:00,2026-01-14 09:45:00-05:00,2026-01-14 15:45:00-05:00,SHORT,95,622.09,625.23,615.83,612.69,3.1349,31,2.0899,True,end_of_window,201.97,2.02,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,NVDA,2026-01-14 09:30:00-05:00,2026-01-14 09:45:00-05:00,2026-01-14 15:45:00-05:00,SHORT,95,182.3,183.54,179.82,178.58,1.2416,80,0.8277,False,end_of_window,-69.6,-0.696,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,AMZN,2026-01-14 09:30:00-05:00,2026-01-14 09:45:00-05:00,2026-01-14 15:45:00-05:00,SHORT,95,238.58,240.21,235.32,233.69,1.6296,61,1.0864,False,end_of_window,116.2,1.162,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,AVGO,2026-01-14 09:30:00-05:00,2026-01-14 09:45:00-05:00,2026-01-14 15:45:00-05:00,SHORT,95,343.58,346.64,337.44,334.38,3.0662,32,2.0442,True,end_of_window,157.08,1.571,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,AVGO,2026-01-14 10:30:00-05:00,2026-01-14 10:45:00-05:00,2026-01-14 15:45:00-05:00,SHORT,95,337.8,341.23,330.94,327.51,3.4303,29,2.2869,False,end_of_window,-60.61,-0.606,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
